Date,Released
12/31/99,1
01/01/00,1
03/16/00,1
05/26/01,1
06/15/02,1
08/28/03,1
08/18/04,1
09/15/04,1
09/17/04,3
09/19/04,2
09/23/04,1
09/24/04,1
09/26/04,1
09/27/04,1
09/30/04,1
10/01/04,3
10/02/04,2
10/08/04,1
10/18/04,1
10/22/04,1
10/23/04,3
10/24/04,1
10/25/04,3
10/27/04,3
11/01/04,1
11/03/04,1
11/04/04,3
11/05/04,2
11/08/04,1
11/11/04,1
11/12/04,1
11/15/04,2
11/17/04,1
11/18/04,1
11/19/04,1
11/25/04,1
11/28/04,2
12/09/04,1
12/12/04,1
12/20/04,2
12/22/04,1
12/30/04,1
01/07/05,2
01/11/05,2
01/13/05,1
01/15/05,1
01/16/05,1
01/19/05,1
01/21/05,1
01/28/05,1
01/30/05,1
02/02/05,1
02/04/05,2
02/07/05,1
02/08/05,2
02/09/05,2
02/10/05,2
02/12/05,1
02/13/05,2
02/15/05,3
02/16/05,2
02/21/05,1
02/27/05,1
02/28/05,1
03/04/05,1
03/06/05,2
03/09/05,1
03/10/05,2
03/12/05,1
03/17/05,1
03/19/05,1
03/21/05,2
03/25/05,1
03/26/05,1
04/04/05,1
04/07/05,1
04/08/05,1
04/09/05,5
04/10/05,1
04/11/05,1
04/13/05,1
04/14/05,2
04/15/05,1
04/19/05,4
04/20/05,1
04/24/05,1
04/26/05,1
04/29/05,2
05/08/05,1
05/09/05,1
05/10/05,1
05/11/05,1
05/15/05,2
05/19/05,1
05/20/05,1
05/21/05,1
05/24/05,1
06/03/05,1
06/04/05,3
06/05/05,1
06/06/05,1
06/07/05,1
06/08/05,2
06/09/05,1
06/10/05,1
06/12/05,2
06/16/05,2
06/17/05,2
06/18/05,1
06/19/05,1
06/23/05,1
06/24/05,2
06/26/05,1
06/27/05,1
06/28/05,1
06/29/05,1
07/03/05,1
07/04/05,1
07/07/05,2
07/10/05,1
07/12/05,1
07/13/05,2
07/14/05,1
07/17/05,1
07/18/05,2
07/24/05,1
07/25/05,4
07/28/05,1
07/29/05,1
07/31/05,1
08/01/05,2
08/03/05,1
08/04/05,2
08/07/05,1
08/09/05,2
08/11/05,2
08/14/05,2
08/16/05,1
08/17/05,2
08/18/05,1
08/21/05,1
08/25/05,2
08/26/05,1
08/28/05,1
08/29/05,1
08/30/05,3
09/01/05,2
09/05/05,1
09/06/05,1
09/07/05,1
09/09/05,1
09/11/05,3
09/13/05,2
09/15/05,2
09/17/05,1
09/18/05,2
09/19/05,1
09/20/05,1
09/25/05,1
09/29/05,2
10/02/05,3
10/04/05,1
10/10/05,1
10/12/05,2
10/13/05,3
10/14/05,1
10/15/05,1
10/17/05,3
10/18/05,1
10/19/05,1
10/21/05,2
10/22/05,2
10/23/05,2
10/25/05,1
10/27/05,1
10/28/05,1
10/30/05,1
11/01/05,2
11/03/05,3
11/04/05,1
11/05/05,1
11/07/05,1
11/08/05,2
11/09/05,4
11/10/05,1
11/13/05,1
11/14/05,2
11/15/05,3
11/18/05,3
11/19/05,2
11/20/05,1
11/21/05,1
11/25/05,1
11/27/05,2
11/28/05,1
11/29/05,1
11/30/05,1
12/01/05,1
12/02/05,2
12/06/05,3
12/07/05,2
12/09/05,2
12/10/05,1
12/12/05,2
12/15/05,1
12/16/05,1
12/17/05,2
12/21/05,2
12/22/05,1
12/28/05,1
12/29/05,2
01/03/06,1
01/04/06,1
01/05/06,2
01/07/06,1
01/08/06,2
01/09/06,1
01/10/06,3
01/14/06,1
01/15/06,2
01/16/06,1
01/17/06,1
01/19/06,1
01/20/06,1
01/22/06,1
01/23/06,2
01/24/06,1
01/25/06,1
01/26/06,1
01/28/06,2
01/30/06,2
02/01/06,2
02/02/06,2
02/05/06,3
02/08/06,1
02/12/06,3
02/15/06,2
02/20/06,2
02/21/06,3
02/24/06,1
02/25/06,1
02/27/06,2
02/28/06,4
03/03/06,1
03/06/06,6
03/08/06,1
03/09/06,2
03/10/06,2
03/12/06,3
03/14/06,2
03/18/06,1
03/22/06,2
03/23/06,2
03/24/06,3
03/27/06,1
03/28/06,2
03/29/06,1
03/30/06,1
04/03/06,1
04/04/06,1
04/05/06,1
04/06/06,1
04/09/06,4
04/11/06,2
04/12/06,3
04/15/06,3
04/16/06,3
04/17/06,1
04/18/06,2
04/20/06,2
04/23/06,5
04/24/06,3
04/25/06,1
04/27/06,1
04/28/06,3
04/30/06,1
05/01/06,1
05/02/06,1
05/03/06,2
05/06/06,1
05/08/06,2
05/10/06,3
05/11/06,1
05/13/06,2
05/14/06,1
05/15/06,2
05/16/06,2
05/17/06,1
05/20/06,1
05/21/06,1
05/22/06,1
05/23/06,3
05/24/06,1
05/25/06,1
05/28/06,2
05/29/06,1
05/30/06,3
05/31/06,1
06/01/06,1
06/03/06,1
06/05/06,2
06/06/06,1
06/07/06,1
06/08/06,1
06/09/06,1
06/10/06,4
06/12/06,3
06/13/06,2
06/14/06,1
06/15/06,1
06/16/06,1
06/18/06,1
06/21/06,2
06/25/06,1
06/26/06,2
06/27/06,4
07/01/06,1
07/03/06,2
07/05/06,1
